municipality,province,population,latitude,longitude
Landsmeer,Noord-Holland,10457.0,52.440338,4.920923
Langedijk,Noord-Holland,26984.0,52.686711,4.783899
Lansingerland,Zuid-Holland,57188.0,51.998714,4.516263
Laren,Noord-Holland,10846.0,52.256817,5.224155
Leek,Groningen,19607.0,53.161611,6.390616
Leerdam,Zuid-Holland,20586.0,51.894313,5.096927
Leeuwarden,Friesland,108113.0,53.201233,5.799913
Leiden,Zuid-Holland,121199.0,52.160114,4.49701
Leiderdorp,Zuid-Holland,26788.0,52.150985,4.528173
Leidschendam-Voorburg,Zuid-Holland,73392.0,52.087731,4.399385
Lelystad,Flevoland,76170.0,52.518537,5.471422
Leudal,Limburg,36213.0,51.261966,5.890997
Leusden,Utrecht,28967.0,52.131793,5.429469
Lingewaal,Gelderland,11059.0,51.838089,5.076384
Lingewaard,Gelderland,45814.0,51.903891,5.935221
Lisse,Zuid-Holland,22376.0,52.25793,4.557483
Lochem,Gelderland,33268.0,52.158665,6.409816
Loon op Zand,Noord-Brabant,23104.0,51.627014,5.072009
Lopik,Utrecht,14000.0,51.974861,4.945148
Loppersum,Groningen,10181.0,53.332175,6.747987
Losser,Overijssel,22619.0,52.262852,7.005785
Maasdriel,Gelderland,24197.0,51.768907,5.323304
Maasgouw,Limburg,23888.0,51.167805,5.88414
Maassluis,Zuid-Holland,32097.0,51.922607,4.254566
Maastricht,Limburg,122331.0,50.851368,5.690973
Marum,Groningen,10350.0,53.146252,6.267326
Medemblik,Noord-Holland,43331.0,52.767447,5.106918
Meerssen,Limburg,19259.0,50.884943,5.752637
Meierijstad,Noord-Brabant,,51.613704,5.548213
Meppel,Drenthe,32875.0,52.692123,6.193719
Middelburg,Zeeland,47660.0,51.498796,3.610998
Midden-Delfland,Zuid-Holland,18449.0,51.954201,4.28831
Midden-Drenthe,Drenthe,33368.0,52.861104,6.512304
Midden-Groningen,Groningen,,53.214825,6.503424
Mill en Sint Hubert,Noord-Brabant,10843.0,51.679806,5.755381
Moerdijk,Noord-Brabant,36775.0,51.660156,4.513072
Molenwaard,Zuid-Holland,29043.0,51.89213,4.79834
Montferland,Gelderland,34985.0,51.919617,6.246311
Montfoort,Utrecht,13639.0,52.036213,4.951859
Mook en Middelaar,Limburg,7783.0,51.75123,5.88163
Neder-Betuwe,Gelderland,22591.0,51.930937,5.574103
Nederweert,Limburg,16773.0,51.286563,5.752701
Neerijnen,Gelderland,12022.0,51.831902,5.279356
Nieuwegein,Utrecht,61017.0,52.024821,5.091819
Nieuwkoop,Zuid-Holland,27114.0,52.150056,4.777359
Nijkerk,Gelderland,40600.0,52.222484,5.483563
Nijmegen,Gelderland,168499.0,51.812563,5.837226
Nissewaard,Zuid-Holland,85083.0,51.848034,4.328748
Noord-Beveland,Zeeland,7508.0,51.570283,3.771484
Noordenveld,Drenthe,31110.0,53.095093,6.445541
Noordoostpolder,Flevoland,46372.0,52.692622,5.737842
Noordwijk,Zuid-Holland,25689.0,52.239989,4.450009
Noordwijkerhout,Zuid-Holland,15982.0,52.260194,4.495584
"Nuenen, Gerwen en Nederwetten",Noord-Brabant,22596.0,51.478251,5.556858
Nunspeet,Gelderland,26707.0,52.374772,5.769895
Nuth,Limburg,15577.0,50.911427,5.892596
Oegstgeest,Zuid-Holland,22855.0,52.186226,4.47481
Oirschot,Noord-Brabant,17989.0,51.504448,5.308463
Oisterwijk,Noord-Brabant,25835.0,51.565424,5.203028
Oldambt,Groningen,38558.0,53.203691,7.05297
Oldebroek,Gelderland,22824.0,52.447445,5.898317
Oldenzaal,Overijssel,32152.0,52.311655,6.926828
Olst-Wijhe,Overijssel,17760.0,52.351896,6.127076
Ommen,Overijssel,17370.0,52.506652,6.435289
Onderbanken,Limburg,7882.0,50.969852,5.965396
Oost Gelre,Gelderland,29648.0,51.990117,6.567068
Oosterhout,Noord-Brabant,53733.0,51.64102,4.86169
Ooststellingwerf,Friesland,25672.0,52.988319,6.270427
Oostzaan,Noord-Holland,9154.0,52.440497,4.875722
Opmeer,Noord-Holland,11374.0,52.705379,4.942667
Opsterland,Friesland,29894.0,53.039542,6.11532
Oss,Noord-Brabant,85039.0,51.76118,5.514048
Oud-Beijerland,Zuid-Holland,23727.0,51.81893,4.427236
